City,Country,Region,_time,count,isIP,isIPv6,isMissingLocation,isPrivateOrReserved,lat,lon,modifiedByPython,modifiedByPythonTimestamp,src
Hovik verk,Norway,Viken,2022-02-02T15:36:06,5,true,false,false,false,59.8922,10.5799,true,2022-02-02T15:36:06,82.164.231.209
Oslo,Norway,Oslo County,2022-02-02T15:36:06,2,true,false,false,false,59.955,10.859,true,2022-02-02T15:36:06,46.46.204.217
Oslo,Norway,Oslo County,2022-02-02T15:36:06,4,true,false,false,false,59.955,10.859,true,2022-02-02T15:36:06,84.209.190.152
Bryne,Norway,Rogaland,2022-02-02T15:36:06,2,true,false,false,false,58.7134,5.6761,true,2022-02-02T15:36:06,79.160.212.119
La Playa de Arguineguin,Spain,Canary Islands,2022-02-02T15:36:06,4,true,false,true,false,27.7533,-15.681,true,2022-02-02T15:36:06,185.47.213.109
Rykkin,Norway,Viken,2022-02-02T15:36:06,2,true,false,false,false,59.9281,10.4965,true,2022-02-02T15:36:06,88.88.220.126
Ørsta,Norway,Møre og Romsdal,2022-02-02T15:36:06,1,true,false,false,false,62.1998,6.12904,true,2022-02-02T15:36:06,46.15.6.238
Fredrikstad,Norway,Viken,2022-02-02T15:36:06,11,true,false,false,false,59.2277,10.9428,true,2022-02-02T15:36:06,81.167.43.10
Hasle,Norway,Viken,2022-02-02T15:36:06,1,true,false,false,false,59.9335,10.5837,true,2022-02-02T15:36:06,109.189.66.247
Oslo,Norway,Oslo County,2022-02-02T15:36:06,21,true,false,false,false,59.955,10.859,true,2022-02-02T15:36:06,82.164.126.85
Oslo,Norway,Oslo County,2022-02-02T15:36:06,28,true,false,false,false,59.955,10.859,true,2022-02-02T15:36:06,77.40.212.11
Oslo,Norway,Oslo County,2022-02-02T15:36:06,1,true,false,false,false,59.955,10.859,true,2022-02-02T15:36:06,84.208.174.202
Oslo,Norway,Oslo County,2022-02-02T15:36:06,1,true,false,false,false,59.955,10.859,true,2022-02-02T15:36:06,89.8.178.73
