City,Country,Region,_time,count,isIP,isIPv6,isMissingLocation,isPrivateOrReserved,lat,lon,modifiedByPython,modifiedByPythonTimestamp,src
Oslo,Norway,Oslo County,2022-01-31T08:58:41.000+0100,1,true,false,false,false,59.95500,10.85900,,,89.8.71.122
Oslo,Norway,Oslo County,2022-01-31T08:56:14.000+0100,5,true,false,false,false,59.95500,10.85900,,,37.191.144.197
Oslo,Norway,Oslo County,2022-01-31T08:53:02.000+0100,4,true,false,false,false,59.95500,10.85900,,,88.93.57.136
Drammen,Norway,Viken,2022-01-31T08:52:11.000+0100,1,true,false,false,false,59.74020,10.20860,,,46.15.22.128
Oslo,Norway,Oslo County,2022-01-31T08:52:03.000+0100,3,true,false,false,false,59.95500,10.85900,,,89.8.156.36
Oslo,Norway,Oslo County,2022-01-31T08:47:57.000+0100,1,true,false,false,false,59.95500,10.85900,,,84.212.99.198
Hovik verk,Norway,Viken,2022-01-31T08:47:37.000+0100,2,true,false,false,false,59.89220,10.57990,,,95.34.3.21
Oslo,Norway,Oslo County,2022-01-31T08:47:19.000+0100,3,true,false,false,false,59.95500,10.85900,,,84.210.149.15
Batsto,Norway,Viken,2022-01-31T08:46:40.000+0100,3,true,false,false,false,59.72630,10.52220,,,79.160.63.0
Oslo,Norway,Oslo County,2022-01-31T08:46:15.000+0100,3,true,false,false,false,59.95500,10.85900,,,158.248.75.113
Oslo,Norway,Oslo County,2022-01-31T08:45:19.000+0100,1,true,false,false,false,59.95500,10.85900,,,89.8.204.80
Hasle,Norway,Viken,2022-01-31T08:44:58.000+0100,11,true,false,false,false,59.93350,10.58370,,,88.91.22.234
Hasle,Norway,Viken,2022-01-31T08:44:20.000+0100,4,true,false,false,false,59.93350,10.58370,,,92.220.20.80
Hasle,Norway,Viken,2022-01-31T08:42:58.000+0100,6,true,false,false,false,59.93350,10.58370,,,81.166.196.213
Oslo,Norway,Oslo County,2022-01-31T08:42:37.000+0100,22,true,false,false,false,59.95500,10.85900,,,84.212.200.67
Rykkin,Norway,Viken,2022-01-31T08:42:16.000+0100,10,true,false,false,false,59.93190,10.48140,,,88.88.220.102
Klofta,Norway,Viken,2022-01-31T08:42:12.000+0100,1,true,false,false,false,60.05220,11.13390,,,80.203.55.141
Stabekk,Norway,Viken,2022-01-31T08:42:02.000+0100,8,true,false,false,false,59.90240,10.60960,,,158.248.69.221
Oslo,Norway,Oslo County,2022-01-31T08:41:59.000+0100,9,true,false,false,false,59.95500,10.85900,,,31.45.109.57
Oslo,Norway,Oslo County,2022-01-31T08:41:23.000+0100,4,true,false,false,false,59.95500,10.85900,,,92.220.17.196
